,,date_time,week,type,sales_rep,number_of_sales,gross_sales,number_of_estimates,estimates_processed
4262,4262,2021-05-18 11:23:00,21,Estimate,"Lumbergh, Bill",0,5368.39162924694,1,1
4263,4263,2021-05-18 12:22:00,21,Estimate,"Bolton, Michael",0,1021.5257936089647,1,1
4264,4264,2021-05-18 12:29:00,21,Customer Invoice,"Simone, Nina",1,1136.2470540400511,0,0
4265,4265,2021-05-18 12:52:00,21,Estimate,"Lumbergh, Bill",0,1343.3012623929678,1,0
4266,4266,2021-05-18 12:53:00,21,Customer Invoice,"Portwood, Dom",1,1408.9004061004496,0,0
4267,4267,2021-05-18 13:01:00,21,Estimate,"Cyrus, Mylie",0,3692.2392136697536,1,1
4268,4268,2021-05-18 13:02:00,21,Customer Invoice,"Germanotta, Stefani",1,437.49799962329604,0,0
4269,4269,2021-05-18 13:25:00,21,Estimate,"Lumbergh, Bill",0,4349.950866932732,1,1
4270,4270,2021-05-18 13:39:00,21,Estimate,"Portwood, Dom",0,340.1692284036385,1,1
4271,4271,2021-05-18 13:53:00,21,Estimate,"Germanotta, Stefani",0,0.0,1,1
4272,4272,2021-05-18 14:13:00,21,Customer Invoice,"Germanotta, Stefani",1,0.0,0,0
4273,4273,2021-05-18 14:16:00,21,Estimate,"Lumbergh, Bill",0,10469.647474031544,1,0
4274,4274,2021-05-18 14:29:00,21,Customer Invoice,"Bolton, Michael",1,1985.6116477249475,0,0
4275,4275,2021-05-18 14:43:00,21,Estimate,"Lumbergh, Bill",0,939.5055783642645,1,1
4276,4276,2021-05-18 14:51:00,21,Customer Invoice,"Portwood, Dom",1,322.48088167884055,0,0
4277,4277,2021-05-18 14:51:00,21,Estimate,"Germanotta, Stefani",0,59.8324707825258,1,1
4278,4278,2021-05-18 15:00:00,21,Customer Invoice,"Portwood, Dom",1,3557.6914688847087,0,0
4279,4279,2021-05-18 16:35:00,21,Customer Invoice,"Bateman, Patrick",1,217.0360017762324,0,0
4280,4280,2021-05-18 16:58:00,21,Estimate,"Germanotta, Stefani",0,7456.192880012736,1,0
4281,4281,2021-05-18 17:16:00,21,Estimate,"Bolton, Michael",0,1442.2725425023389,1,0
4282,4282,2021-05-18 17:22:00,21,Estimate,"Cyrus, Mylie",0,650.3963171922467,1,1
4283,4283,2021-05-18 21:03:00,21,Customer Invoice,"Bateman, Patrick",1,1247.2359643405305,0,0
4284,4284,2021-05-18 12:20:00,21,Customer Invoice,"Germanotta, Stefani",1,6258.615760597253,0,0
4285,4285,2021-05-19 10:54:00,21,Estimate,"Germanotta, Stefani",0,1031.314882948897,1,0
4286,4286,2021-05-19 9:16:00,21,Estimate,"Lumbergh, Bill",0,223.24547615717617,1,1
4287,4287,2021-05-19 9:52:00,21,Estimate,"Bolton, Michael",0,809.0826971106055,1,0
4288,4288,2021-05-19 9:54:00,21,Customer Invoice,"Lumbergh, Bill",1,231.95221057058478,0,0
4289,4289,2021-05-19 10:08:00,21,Estimate,"Lumbergh, Bill",0,1133.0500076570704,1,0
4290,4290,2021-05-19 10:59:00,21,Estimate,"Germanotta, Stefani",0,20740.76238635313,1,1
4291,4291,2021-05-19 11:08:00,21,Customer Invoice,"Lumbergh, Bill",1,368.6333215496709,0,0
4292,4292,2021-05-19 11:20:00,21,Estimate,"Lumbergh, Bill",0,194.9729965162133,1,1
4293,4293,2021-05-19 11:21:00,21,Customer Invoice,"Lumbergh, Bill",1,165.47906543053284,0,0
4294,4294,2021-05-19 11:26:00,21,Estimate,"Germanotta, Stefani",0,3937.2186575434484,1,1
4295,4295,2021-05-19 11:36:00,21,Estimate,"Germanotta, Stefani",0,10884.54820362246,1,0
4296,4296,2021-05-19 11:42:00,21,Customer Invoice,"Bateman, Patrick",1,1506.8759599626414,0,0
4297,4297,2021-05-19 11:44:00,21,Estimate,"Lumbergh, Bill",0,1260.4947869825546,1,0
4298,4298,2021-05-19 11:49:00,21,Customer Invoice,"Portwood, Dom",1,24905.014832179822,0,0
4299,4299,2021-05-19 12:34:00,21,Estimate,"Germanotta, Stefani",0,699.2289425175358,1,1
4300,4300,2021-05-19 13:05:00,21,Estimate,"Germanotta, Stefani",0,778.6893235597024,1,0
4301,4301,2021-05-19 13:49:00,21,Estimate,"Cyrus, Mylie",0,838.6166542921765,1,1
4302,4302,2021-05-19 14:13:00,21,Estimate,"Lumbergh, Bill",0,926.6818120490983,1,1
4303,4303,2021-05-19 14:14:00,21,Customer Invoice,"Lumbergh, Bill",1,768.9870729036605,0,0
4304,4304,2021-05-19 14:39:00,21,Customer Invoice,"Bolton, Michael",1,1093.728344080619,0,0
4305,4305,2021-05-19 14:48:00,21,Estimate,"Cyrus, Mylie",0,288.4062981246056,1,0
4306,4306,2021-05-19 14:59:00,21,Estimate,"Cyrus, Mylie",0,327.6056876872475,1,0
4307,4307,2021-05-19 15:42:00,21,Estimate,"Bolton, Michael",0,842.2939925458696,1,0
4308,4308,2021-05-19 16:09:00,21,Customer Invoice,"Lumbergh, Bill",1,4515.230576251427,0,0
4309,4309,2021-05-19 16:24:00,21,Estimate,"Lumbergh, Bill",0,931.6712561410003,1,0
4310,4310,2021-05-19 16:37:00,21,Customer Invoice,"Cyrus, Mylie",1,816.5587679274843,0,0
4311,4311,2021-05-19 17:14:00,21,Estimate,"Germanotta, Stefani",0,432.7936621599737,1,1
4312,4312,2021-05-19 17:21:00,21,Estimate,"Cyrus, Mylie",0,379.1262914047573,1,1
4313,4313,2021-05-19 17:26:00,21,Estimate,"Portman, Sam",0,300.0541434878965,1,0
4314,4314,2021-05-20 9:02:00,21,Estimate,"Bolton, Michael",0,3441.2958235892033,1,0
4315,4315,2021-05-20 9:12:00,21,Estimate,"Simone, Nina",0,1132.3203324278895,1,0
4316,4316,2021-05-20 9:25:00,21,Estimate,"Simone, Nina",0,1746.1385311044419,1,0
4317,4317,2021-05-20 9:28:00,21,Estimate,"Lumbergh, Bill",0,1032.9255462420263,1,0
4318,4318,2021-05-20 9:31:00,21,Estimate,"Simone, Nina",0,587.2737990765112,1,0
4319,4319,2021-05-20 9:33:00,21,Estimate,"Cyrus, Mylie",0,1222.4134481118624,1,0
4320,4320,2021-05-20 9:49:00,21,Customer Invoice,"Bateman, Patrick",1,0.0,0,0
4321,4321,2021-05-20 10:10:00,21,Customer Invoice,"Lumbergh, Bill",1,863.5735773761224,0,0
4322,4322,2021-05-20 10:24:00,21,Estimate,"Portwood, Dom",0,3734.275380999669,1,0
4323,4323,2021-05-20 10:40:00,21,Estimate,"Portwood, Dom",0,5328.472148350724,1,1
4324,4324,2021-05-20 11:03:00,21,Estimate,"Simone, Nina",0,197.27969952953762,1,0
4325,4325,2021-05-20 11:17:00,21,Estimate,"Simone, Nina",0,462.2723892332849,1,0
4326,4326,2021-05-20 11:19:00,21,Estimate,"Lumbergh, Bill",0,1460.0887123795335,1,0
4327,4327,2021-05-20 11:50:00,21,Cash Sale,"Bolton, Michael",1,29.599742882595525,0,0
4328,4328,2021-05-20 12:17:00,21,Estimate,"Lumbergh, Bill",0,346.6373073392905,1,0
4329,4329,2021-05-20 12:22:00,21,Estimate,"Lumbergh, Bill",0,154.5601543727356,1,1
4330,4330,2021-05-20 12:53:00,21,Customer Invoice,"Bolton, Michael",1,8713.269377919383,0,0
4331,4331,2021-05-20 13:07:00,21,Customer Invoice,"Germanotta, Stefani",1,88.03813726428228,0,0
4332,4332,2021-05-20 13:11:00,21,Customer Invoice,"Simone, Nina",1,364.45195562907946,0,0
4333,4333,2021-05-20 13:28:00,21,Estimate,"Germanotta, Stefani",0,681.8427769904044,1,0
4334,4334,2021-05-20 13:30:00,21,Estimate,"Germanotta, Stefani",0,244.303373546116,1,0
4335,4335,2021-05-20 13:49:00,21,Cash Sale,"Bolton, Michael",1,76.91347702865036,0,0
4336,4336,2021-05-20 14:00:00,21,Estimate,"Germanotta, Stefani",0,298.3544977287902,1,1
4337,4337,2021-05-20 14:05:00,21,Customer Invoice,"Simone, Nina",1,200.82043579572013,0,0
4338,4338,2021-05-20 14:17:00,21,Estimate,"Germanotta, Stefani",0,65.40701138322066,1,1
4339,4339,2021-05-20 14:30:00,21,Estimate,"Germanotta, Stefani",0,101.56732128462984,1,0
4340,4340,2021-05-20 14:54:00,21,Estimate,"Cyrus, Mylie",0,204.92611173622066,1,1
4341,4341,2021-05-20 14:55:00,21,Customer Invoice,"Cyrus, Mylie",1,212.85446900990272,0,0
4342,4342,2021-05-20 15:00:00,21,Estimate,"Lumbergh, Bill",0,5685.284070833711,1,1
4343,4343,2021-05-20 15:02:00,21,Estimate,"Simone, Nina",0,488.50732380042825,1,0
4344,4344,2021-05-20 15:31:00,21,Estimate,"Cyrus, Mylie",0,702.7409447377953,1,0
4345,4345,2021-05-20 15:34:00,21,Estimate,"Bolton, Michael",0,4290.390304009761,1,0
4346,4346,2021-05-20 15:37:00,21,Estimate,"Germanotta, Stefani",0,256.22333957709907,1,1
4347,4347,2021-05-20 15:44:00,21,Estimate,"Simone, Nina",0,2114.5738209004903,1,0
4348,4348,2021-05-20 15:45:00,21,Estimate,"Germanotta, Stefani",0,8678.20062253742,1,0
4349,4349,2021-05-20 16:09:00,21,Estimate,"Cyrus, Mylie",0,557.4014726437942,1,0
4350,4350,2021-05-20 16:13:00,21,Estimate,"Bateman, Patrick",0,720.601397924002,1,0
4351,4351,2021-05-20 16:43:00,21,Estimate,"Bateman, Patrick",0,1297.5065284911109,1,0
4352,4352,2021-05-20 22:14:00,21,Estimate,"Bateman, Patrick",0,38914.231603322994,1,1
4353,4353,2021-05-21 7:51:00,21,Customer Invoice,"Bateman, Patrick",1,719.8180610982491,0,0
4354,4354,2021-05-21 9:35:00,21,Estimate,"Bolton, Michael",0,432.5313414046924,1,1
4355,4355,2021-05-21 9:52:00,21,Estimate,"Simone, Nina",0,1362.957829583343,1,0
4356,4356,2021-05-21 10:59:00,21,Customer Invoice,"Germanotta, Stefani",1,944.198687875444,0,0
4357,4357,2021-05-21 11:36:00,21,Customer Invoice,"Bolton, Michael",1,276.18546947545207,0,0
4358,4358,2021-05-21 11:40:00,21,Customer Invoice,"Germanotta, Stefani",1,19980.827991732665,0,0
4359,4359,2021-05-21 12:29:00,21,Customer Invoice,"Lumbergh, Bill",1,142.7478673614674,0,0
4360,4360,2021-05-21 12:44:00,21,Estimate,"Bolton, Michael",0,308.5169907898723,1,1
4361,4361,2021-05-21 12:45:00,21,Customer Invoice,"Germanotta, Stefani",1,1430.6050998566316,0,0
4362,4362,2021-05-21 13:36:00,21,Cash Sale,"Germanotta, Stefani",1,38.497088836298715,0,0
4363,4363,2021-05-21 13:49:00,21,Customer Invoice,"Germanotta, Stefani",1,1087.4915693393489,0,0
4364,4364,2021-05-21 14:40:00,21,Estimate,"Bolton, Michael",0,6823.4334692081975,1,0
4365,4365,2021-05-21 14:45:00,21,Estimate,"Cyrus, Mylie",0,650.2031766508791,1,1
4366,4366,2021-05-21 14:46:00,21,Customer Invoice,"Cyrus, Mylie",1,631.4330674421103,0,0
4367,4367,2021-05-21 15:01:00,21,Customer Invoice,"Germanotta, Stefani",1,635.7179183565952,0,0
4368,4368,2021-05-21 16:11:00,21,Estimate,"Germanotta, Stefani",0,2627.3641647213794,1,0
4369,4369,2021-05-21 16:47:00,21,Customer Invoice,"Bolton, Michael",1,385.78984275442923,0,0
4370,4370,2021-05-21 17:25:00,21,Estimate,"Bolton, Michael",0,131.74175647804014,1,1
4371,4371,2021-05-21 17:27:00,21,Cash Sale,"Bolton, Michael",1,142.52035390363915,0,0
4372,4372,2021-05-21 17:44:00,21,Estimate,"Germanotta, Stefani",0,169.23866525790044,1,1
4373,4373,2021-05-22 10:15:00,21,Estimate,"Germanotta, Stefani",0,436.17654063653833,1,1
4374,4374,2021-05-22 11:04:00,21,Estimate,"Cyrus, Mylie",0,952.8684129146492,1,0
4375,4375,2021-05-22 11:08:00,21,Estimate,"Cyrus, Mylie",0,1091.4629293392163,1,0
4376,4376,2021-05-22 11:21:00,21,Estimate,"Germanotta, Stefani",0,378.5953071141674,1,1
4377,4377,2021-05-22 12:52:00,21,Customer Invoice,"Germanotta, Stefani",1,406.0462813557739,0,0
4378,4378,2021-05-22 12:54:00,21,Estimate,"Van Dyne, Joelle",0,4308.686402450315,1,1
4379,4379,2021-05-22 13:02:00,21,Estimate,"Cyrus, Mylie",0,1410.5738737513375,1,1
4380,4380,2021-05-22 13:03:00,21,Customer Invoice,"Cyrus, Mylie",1,1130.4686491239106,0,0
4381,4381,2021-05-22 13:07:00,21,Estimate,"Cyrus, Mylie",0,615.1528527134108,1,1
4382,4382,2021-05-22 13:08:00,21,Customer Invoice,"Cyrus, Mylie",1,761.3917419274854,0,0
4383,4383,2021-05-22 13:34:00,21,Estimate,"Incandenza, Hal",0,318.27534522042356,1,0
4384,4384,2021-05-22 13:49:00,21,Estimate,"Van Dyne, Joelle",0,239.93780005260223,1,1
4385,4385,2021-05-22 13:57:00,21,Estimate,"Portwood, Dom",0,2098.4492539852313,1,1
4386,4386,2021-05-22 14:03:00,21,Estimate,"Cyrus, Mylie",0,777.8026883380567,1,0
4387,4387,2021-05-22 14:46:00,21,Estimate,"Van Dyne, Joelle",0,1115.991963408784,1,0
4388,4388,2021-05-22 15:12:00,21,Estimate,"Germanotta, Stefani",0,60.04913455321785,1,0
4389,4389,2021-05-22 15:17:00,21,Estimate,"Cyrus, Mylie",0,2155.978359173118,1,0
4390,4390,2021-05-22 15:31:00,21,Estimate,"Germanotta, Stefani",0,303.5149224298592,1,1
4391,4391,2021-05-22 15:31:00,21,Customer Invoice,"Germanotta, Stefani",1,278.19757920462143,0,0
4392,4392,2021-05-22 16:17:00,21,Estimate,"Van Dyne, Joelle",0,983.0923761733607,1,0
4393,4393,2021-05-22 17:02:00,21,Customer Invoice,"Bateman, Patrick",1,264.29155407753774,0,0
4394,4394,2021-05-22 17:04:00,21,Estimate,"Cyrus, Mylie",0,1016.8665560243179,1,0
4395,4395,2021-05-22 17:07:00,21,Estimate,"Germanotta, Stefani",0,3952.405172507013,1,1
4396,4396,2021-05-22 17:08:00,21,Customer Invoice,"Germanotta, Stefani",1,4081.491126184408,0,0
4397,4397,2021-05-22 17:16:00,21,Estimate,"Portwood, Dom",0,1240.5339901308712,1,0
4398,4398,2021-05-22 17:27:00,21,Estimate,"Germanotta, Stefani",0,1213.4136942818636,1,0
4399,4399,2021-05-22 17:38:00,21,Estimate,"Portwood, Dom",0,2045.4503908191277,1,1
4400,4400,2021-05-22 17:48:00,21,Estimate,"Portwood, Dom",0,1312.3332924514518,1,1
4401,4401,2021-05-22 17:50:00,21,Customer Invoice,"Portwood, Dom",1,1194.2685815404636,0,0
4402,4402,2021-05-22 18:04:00,21,Estimate,"Portwood, Dom",0,2923.470540206011,1,1
4403,4403,2021-05-22 18:21:00,21,Estimate,"Portwood, Dom",0,1873.9529152555147,1,0
4404,4404,2021-05-22 20:53:00,21,Customer Invoice,"Bateman, Patrick",1,1920.2310708084228,0,0
4405,4405,2021-05-22 22:13:00,21,Customer Invoice,"Bateman, Patrick",1,31966.215766111058,0,0
4406,4406,2021-05-23 11:16:00,22,Estimate,"Simone, Nina",0,1388.11804600819,1,0
4407,4407,2021-05-23 11:45:00,22,Estimate,"Simone, Nina",0,205.58527348412028,1,0
4408,4408,2021-05-23 12:05:00,22,Customer Invoice,"Simone, Nina",1,312.2480486361359,0,0
4409,4409,2021-05-23 12:49:00,22,Customer Invoice,"Simone, Nina",1,773.2074356184128,0,0
4410,4410,2021-05-23 13:09:00,22,Estimate,"Bolton, Michael",0,27782.500178277114,1,0
4411,4411,2021-05-23 13:41:00,22,Customer Invoice,"Simone, Nina",1,3893.894241558207,0,0
4412,4412,2021-05-23 15:35:00,22,Estimate,"Germanotta, Stefani",0,1838.4035424456026,1,0
4413,4413,2021-05-23 16:04:00,22,Estimate,"Germanotta, Stefani",0,388.3698843101531,1,1
4414,4414,2021-05-24 8:54:00,22,Estimate,"Bolton, Michael",0,3548.7360889679926,1,1
4415,4415,2021-05-24 9:02:00,22,Estimate,"Bolton, Michael",0,3568.4272120486326,1,0
4416,4416,2021-05-24 9:14:00,22,Estimate,"Simone, Nina",0,382.080791382079,1,0
4417,4417,2021-05-24 9:59:00,22,Estimate,"Bolton, Michael",0,832.4018445002469,1,0
4418,4418,2021-05-24 10:09:00,22,Customer Invoice,"Bateman, Patrick",1,155.31583227508548,0,0
4419,4419,2021-05-24 10:49:00,22,Estimate,"Simone, Nina",0,1756.2228614006626,1,0
4420,4420,2021-05-24 11:09:00,22,Estimate,"Simone, Nina",0,443.5632996608962,1,1
4421,4421,2021-05-24 11:14:00,22,Customer Invoice,"Lumbergh, Bill",1,1156.9289798333418,0,0
4422,4422,2021-05-24 11:35:00,22,Customer Invoice,"Bolton, Michael",1,397.8914721581574,0,0
4423,4423,2021-05-24 12:11:00,22,Estimate,"Bolton, Michael",0,1612.0482834016057,1,0
4424,4424,2021-05-24 12:26:00,22,Estimate,"Germanotta, Stefani",0,2789.8593730318908,1,1
4425,4425,2021-05-24 12:43:00,22,Estimate,"Portwood, Dom",0,653.1603632869252,1,1
4426,4426,2021-05-24 12:43:00,22,Customer Invoice,"Portwood, Dom",1,628.4777195896572,0,0
4427,4427,2021-05-24 12:48:00,22,Customer Invoice,"Simone, Nina",1,187.12536887955457,0,0
4428,4428,2021-05-24 13:00:00,22,Customer Invoice,"Germanotta, Stefani",1,423.47817876321466,0,0
4429,4429,2021-05-24 13:23:00,22,Estimate,"Van Dyne, Joelle",0,606.9524080732995,1,1
4430,4430,2021-05-24 13:36:00,22,Customer Invoice,"Germanotta, Stefani",1,63.15800463623049,0,0
4431,4431,2021-05-24 14:06:00,22,Estimate,"Portwood, Dom",0,3174.5686342187946,1,1
4432,4432,2021-05-24 14:26:00,22,Customer Invoice,"Lumbergh, Bill",1,7405.269316106376,0,0
4433,4433,2021-05-24 14:32:00,22,Estimate,"Bolton, Michael",0,1455.3638303150667,1,0
4434,4434,2021-05-24 15:15:00,22,Estimate,"Lumbergh, Bill",0,248.36748902714896,1,1
4435,4435,2021-05-24 15:17:00,22,Customer Invoice,"Lumbergh, Bill",1,696.8290083876834,0,0
4436,4436,2021-05-24 15:34:00,22,Customer Invoice,"Simone, Nina",1,335.7578237480774,0,0
4437,4437,2021-05-24 16:25:00,22,Estimate,"Bolton, Michael",0,2891.2719832314547,1,0
4438,4438,2021-05-24 16:25:00,22,Estimate,"Germanotta, Stefani",0,1944.9279611350862,1,0
4439,4439,2021-05-24 16:38:00,22,Estimate,"Germanotta, Stefani",0,41.41263823105969,1,0
4440,4440,2021-05-24 16:47:00,22,Customer Invoice,"Germanotta, Stefani",1,296.79244033687826,0,0
4441,4441,2021-05-24 17:13:00,22,Estimate,"Portwood, Dom",0,24.873684113622918,1,1
4442,4442,2021-05-24 17:14:00,22,Customer Invoice,"Portwood, Dom",1,20.48203140013436,0,0
4443,4443,2021-05-24 17:30:00,22,Estimate,"Cyrus, Mylie",0,56.648404588911646,1,1
4444,4444,2021-05-24 17:33:00,22,Customer Invoice,"Bolton, Michael",1,1671.889319238691,0,0
4445,4445,2021-05-24 18:00:00,22,Customer Invoice,"Portwood, Dom",1,2148.6113849856033,0,0
4446,4446,2021-05-25 8:38:00,22,Customer Invoice,"Portwood, Dom",1,395.0171344995602,0,0
4447,4447,2021-05-25 9:10:00,22,Estimate,"Cyrus, Mylie",0,1499.4612679092231,1,1
4448,4448,2021-05-25 9:11:00,22,Estimate,"Bolton, Michael",0,564.2727199031061,1,1
4449,4449,2021-05-25 9:23:00,22,Customer Invoice,"Bolton, Michael",1,591.0272458609949,0,0
4450,4450,2021-05-25 9:24:00,22,Customer Invoice,"Cyrus, Mylie",1,1277.7833861575762,0,0
4451,4451,2021-05-25 9:28:00,22,Customer Invoice,"Bolton, Michael",1,3608.074216488095,0,0
4452,4452,2021-05-25 9:47:00,22,Estimate,"Cyrus, Mylie",0,0.0,1,1
4453,4453,2021-05-25 9:52:00,22,Estimate,"Bateman, Patrick",0,368.60371419553974,1,1
4454,4454,2021-05-25 10:07:00,22,Estimate,"Bolton, Michael",0,108.79635835639284,1,1
4455,4455,2021-05-25 10:08:00,22,Customer Invoice,"Bolton, Michael",1,120.85528353827536,0,0
4456,4456,2021-05-25 10:17:00,22,Customer Invoice,"Van Dyne, Joelle",1,556.1477561339287,0,0
4457,4457,2021-05-25 10:35:00,22,Estimate,"Germanotta, Stefani",0,1046.003784263187,1,1
4458,4458,2021-05-25 10:44:00,22,Estimate,"Bolton, Michael",0,6345.824507011277,1,0
4459,4459,2021-05-25 11:07:00,22,Estimate,"Portwood, Dom",0,4073.9832419476784,1,1
4460,4460,2021-05-25 11:12:00,22,Estimate,"Bolton, Michael",0,218.90647347997228,1,1
4461,4461,2021-05-25 11:13:00,22,Customer Invoice,"Bolton, Michael",1,195.90817100402418,0,0
4462,4462,2021-05-25 11:21:00,22,Customer Invoice,"Cyrus, Mylie",1,3774.1830907703243,0,0
4463,4463,2021-05-25 11:30:00,22,Estimate,"Lumbergh, Bill",0,9686.680697722899,1,0
4464,4464,2021-05-25 11:51:00,22,Estimate,"Bolton, Michael",0,86.99898293525666,1,1
4465,4465,2021-05-25 11:52:00,22,Customer Invoice,"Bolton, Michael",1,71.68701848576772,0,0
4466,4466,2021-05-25 11:58:00,22,Estimate,"Germanotta, Stefani",0,2749.3637319384106,1,0
4467,4467,2021-05-25 12:04:00,22,Estimate,"Germanotta, Stefani",0,1034.5491182975845,1,0
4468,4468,2021-05-25 12:42:00,22,Customer Invoice,"Germanotta, Stefani",1,837.0347102863486,0,0
4469,4469,2021-05-25 13:24:00,22,Estimate,"Lumbergh, Bill",0,1447.9384125142508,1,1
4470,4470,2021-05-25 13:27:00,22,Customer Invoice,"Cyrus, Mylie",1,1210.2363576849402,0,0
4471,4471,2021-05-25 13:34:00,22,Estimate,"Germanotta, Stefani",0,2748.8178073048953,1,0
4472,4472,2021-05-25 14:05:00,22,Estimate,"Germanotta, Stefani",0,616.8320618702451,1,0
4473,4473,2021-05-25 14:24:00,22,Customer Invoice,"Germanotta, Stefani",1,78.1879197170675,0,0
4474,4474,2021-05-25 14:37:00,22,Estimate,"Germanotta, Stefani",0,7278.226058303799,1,1
4475,4475,2021-05-25 14:43:00,22,Customer Invoice,"Cyrus, Mylie",1,512.2626107023345,0,0
4476,4476,2021-05-25 14:55:00,22,Customer Invoice,"Germanotta, Stefani",1,249.64062983804754,0,0
4477,4477,2021-05-25 15:08:00,22,Estimate,"Portwood, Dom",0,189.03418553552157,1,1
4478,4478,2021-05-25 15:22:00,22,Estimate,"Cyrus, Mylie",0,1194.6807953125342,1,0
4479,4479,2021-05-25 15:30:00,22,Estimate,"Lumbergh, Bill",0,326.71611546904757,1,1
4480,4480,2021-05-25 15:30:00,22,Estimate,"Germanotta, Stefani",0,1454.4539598966585,1,1
4481,4481,2021-05-25 15:34:00,22,Estimate,"Cyrus, Mylie",0,389.8545757091655,1,0
4482,4482,2021-05-25 15:38:00,22,Estimate,"Portwood, Dom",0,174.0529083300387,1,1
4483,4483,2021-05-25 15:42:00,22,Customer Invoice,"Portwood, Dom",1,151.154462389106,0,0
4484,4484,2021-05-25 16:02:00,22,Customer Invoice,"Simone, Nina",1,12004.913889688309,0,0
4485,4485,2021-05-25 16:05:00,22,Estimate,"Cyrus, Mylie",0,371.42505491233464,1,1
4486,4486,2021-05-25 16:05:00,22,Estimate,"Germanotta, Stefani",0,279.97547018053183,1,1
4487,4487,2021-05-25 16:12:00,22,Estimate,"Van Dyne, Joelle",0,671.7412288412892,1,0
4488,4488,2021-05-25 16:14:00,22,Estimate,"Bolton, Michael",0,981.4897600008154,1,0
4489,4489,2021-05-25 16:18:00,22,Estimate,"Portwood, Dom",0,165.16664749082764,1,1
4490,4490,2021-05-25 16:26:00,22,Estimate,"Cyrus, Mylie",0,218.64349508749766,1,1
4491,4491,2021-05-25 16:27:00,22,Customer Invoice,"Portwood, Dom",1,385.930491048573,0,0
4492,4492,2021-05-25 16:42:00,22,Customer Invoice,"Portwood, Dom",1,0.0,0,0
4493,4493,2021-05-25 16:57:00,22,Estimate,"Bolton, Michael",0,130.46277611424122,1,1
4494,4494,2021-05-25 16:59:00,22,Customer Invoice,"Bolton, Michael",1,129.38038772004293,0,0
4495,4495,2021-05-25 17:21:00,22,Estimate,"Cyrus, Mylie",0,480.09141644285165,1,0
4496,4496,2021-05-26 8:56:00,22,Customer Invoice,"Simone, Nina",1,780.5083214035734,0,0
4497,4497,2021-05-26 9:08:00,22,Estimate,"Bolton, Michael",0,792.6087878897451,1,1
4498,4498,2021-05-26 9:09:00,22,Customer Invoice,"Bateman, Patrick",1,440.22082625237556,0,0
4499,4499,2021-05-26 9:19:00,22,Customer Invoice,"Lumbergh, Bill",1,3064.2402529191395,0,0
4500,4500,2021-05-26 9:36:00,22,Estimate,"Bolton, Michael",0,842.4617209610369,1,0
4501,4501,2021-05-26 10:20:00,22,Estimate,"Lumbergh, Bill",0,2736.9709002462578,1,1
4502,4502,2021-05-26 10:25:00,22,Customer Invoice,"Germanotta, Stefani",1,1216.861379197046,0,0
4503,4503,2021-05-26 10:49:00,22,Estimate,"Portman, Sam",0,659.1712281186899,1,0
4504,4504,2021-05-26 11:31:00,22,Customer Invoice,"Lumbergh, Bill",1,1492.0495830135094,0,0
4505,4505,2021-05-26 11:45:00,22,Customer Invoice,"Germanotta, Stefani",1,293.04637818819197,0,0
4506,4506,2021-05-26 12:03:00,22,Customer Invoice,"Portwood, Dom",1,943.6920504974446,0,0
4507,4507,2021-05-26 12:27:00,22,Customer Invoice,"Lumbergh, Bill",1,2780.3046353867035,0,0
4508,4508,2021-05-26 14:29:00,22,Estimate,"Bolton, Michael",0,926.5818633688848,1,0
4509,4509,2021-05-26 14:49:00,22,Customer Invoice,"Bolton, Michael",1,869.5291250028922,0,0
4510,4510,2021-05-26 14:54:00,22,Estimate,"Lumbergh, Bill",0,2387.954942419282,1,1
4511,4511,2021-05-26 15:09:00,22,Customer Invoice,"Portwood, Dom",1,175.78344341201586,0,0
4512,4512,2021-05-26 15:16:00,22,Estimate,"Van Dyne, Joelle",0,1727.430611863571,1,0
4513,4513,2021-05-26 15:17:00,22,Estimate,"Cyrus, Mylie",0,1709.5074525455132,1,0
4514,4514,2021-05-26 15:30:00,22,Estimate,"Lance Alot, Sir",0,14.842809324574418,1,1
4515,4515,2021-05-26 15:35:00,22,Cash Sale,"Cyrus, Mylie",1,15.552007651542377,0,0
4516,4516,2021-05-26 15:42:00,22,Customer Invoice,"Cyrus, Mylie",1,220.3201758751705,0,0
4517,4517,2021-05-26 16:06:00,22,Estimate,"Van Dyne, Joelle",0,944.780002140653,1,0
4518,4518,2021-05-26 16:11:00,22,Estimate,"Portwood, Dom",0,756.3015456642222,1,1
4519,4519,2021-05-26 16:11:00,22,Customer Invoice,"Portwood, Dom",1,616.7878634048238,0,0
4520,4520,2021-05-26 16:17:00,22,Customer Invoice,"Bateman, Patrick",1,652.7429045030303,0,0
4521,4521,2021-05-26 16:21:00,22,Estimate,"Cyrus, Mylie",0,963.5398744784342,1,1
4522,4522,2021-05-26 16:57:00,22,Estimate,"Germanotta, Stefani",0,6207.244810344127,1,1
4523,4523,2021-05-26 17:09:00,22,Estimate,"Portwood, Dom",0,3800.775587508896,1,0
4524,4524,2021-05-26 17:16:00,22,Estimate,"Cyrus, Mylie",0,1082.443444627737,1,1
4525,4525,2021-05-26 17:16:00,22,Estimate,"Lumbergh, Bill",0,726.6413745326093,1,0
4526,4526,2021-05-26 17:48:00,22,Customer Invoice,"Germanotta, Stefani",1,6277.909685165951,0,0
4527,4527,2021-05-26 18:09:00,22,Customer Invoice,"Germanotta, Stefani",1,3196.3927381917592,0,0
